@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
840800,179.02,-0.23,-92.74,0.12,0.19,0.01,102676.38,35.76,0.04,0.42,0.91
850957,179.02,-0.23,-92.71,0.12,0.18,0.04,102676.86,35.77,0.05,0.63,0.89
861190,179.02,-0.23,-92.67,0.13,0.19,-0.01,102677.21,35.77,-0.11,0.60,1.19
871431,179.02,-0.23,-92.67,0.13,0.18,-0.03,102678.48,35.77,-0.30,0.47,0.63
881656,179.02,-0.22,-92.68,0.12,0.17,0.02,102678.45,35.77,-0.45,0.52,0.91
891899,179.02,-0.22,-92.68,0.12,0.18,0.01,102677.89,35.77,-0.32,0.50,1.04
902135,179.01,-0.22,-92.65,0.12,0.20,-0.00,102678.50,35.77,-0.30,0.53,0.99
912375,179.01,-0.22,-92.66,0.13,0.20,-0.00,102680.23,35.77,-0.37,0.50,0.86
922600,179.00,-0.22,-92.67,0.11,0.20,-0.01,102680.79,35.77,-0.19,0.41,0.88
932841,179.00,-0.21,-92.69,0.14,0.17,-0.01,102680.93,35.77,0.00,0.36,1.11
944164,179.01,-0.21,-92.72,0.11,0.17,0.01,102680.75,35.77,-0.35,0.34,1.00
954415,179.01,-0.20,-92.73,0.12,0.17,0.02,102680.36,35.77,0.05,0.30,0.59
964635,179.01,-0.21,-92.71,0.10,0.18,0.00,102680.12,35.77,-0.73,0.49,1.06
974874,179.01,-0.21,-92.70,0.12,0.17,0.03,102679.92,35.77,-0.34,0.49,0.76
985116,179.01,-0.22,-92.69,0.11,0.19,0.01,102680.29,35.77,-0.15,0.45,1.01

995340,179.01,-0.23,-92.68,0.10,0.18,-0.02,102679.25,35.77,-0.38,0.72,0.91
1005569,179.01,-0.23,-92.68,0.11,0.16,0.01,102680.30,35.77,-0.23,0.57,0.88
1015790,179.02,-0.22,-92.68,0.12,0.17,0.04,102680.82,35.77,-0.32,1.17,0.88
1026037,179.02,-0.22,-92.70,0.11,0.18,-0.00,102679.17,35.77,-0.02,0.47,0.53
1036287,179.01,-0.23,-92.67,0.11,0.19,0.01,102679.98,35.77,-0.36,0.41,0.89
1047620,179.01,-0.23,-92.67,0.11,0.18,-0.04,102678.80,35.77,-0.34,0.47,0.84
1057849,179.01,-0.23,-92.65,0.11,0.19,-0.00,102678.69,35.78,-0.23,0.37,1.03
1068086,179.00,-0.24,-92.59,0.14,0.20,0.02,102678.86,35.77,-0.16,0.43,1.07
1078328,179.00,-0.23,-92.60,0.11,0.19,0.01,102679.23,35.77,-0.15,0.48,1.23
1088549,179.00,-0.23,-92.63,0.12,0.19,-0.00,102679.77,35.77,-0.15,0.41,0.21
1098791,179.00,-0.23,-92.63,0.12,0.18,-0.02,102680.17,35.77,0.01,0.47,0.90
1109021,179.00,-0.23,-92.63,0.12,0.17,-0.01,102680.23,35.77,-0.47,0.64,0.57
1119272,179.00,-0.23,-92.60,0.12,0.17,-0.01,102678.73,35.77,-0.25,0.68,0.78
1129520,179.01,-0.24,-92.56,0.11,0.18,0.00,102677.08,35.77,-0.32,0.60,1.17
1139764,179.01,-0.23,-92.56,0.14,0.18,-0.03,102676.38,35.77,-0.34,0.51,0.90
1155397,179.01,-0.21,-92.58,0.14,0.17,0.02,102677.36,35.78,-0.11,0.53,0.88
1165630,179.02,-0.22,-92.58,0.11,0.17,-0.01,102679.39,35.77,-0.49,0.50,0.49
1175866,179.02,-0.22,-92.56,0.12,0.17,0.01,102678.63,35.78,-0.14,0.61,1.07
1186100,179.02,-0.22,-92.52,0.13,0.17,-0.01,102678.28,35.78,-0.18,0.55,0.88
1196342,179.02,-0.21,-92.53,0.13,0.18,0.02,102680.09,35.78,-0.39,0.42,0.76
1206580,179.02,-0.21,-92.55,0.12,0.18,0.02,102680.15,35.78,-0.55,0.51,0.89

1216818,179.01,-0.20,-92.55,0.12,0.18,0.00,102679.45,35.78,-0.27,0.49,0.84
1227041,179.01,-0.20,-92.54,0.13,0.18,0.01,102678.39,35.78,-0.40,0.41,0.79
1237272,179.01,-0.20,-92.55,0.11,0.18,0.01,102680.43,35.78,-0.43,0.36,1.29
1247499,179.01,-0.21,-92.52,0.13,0.17,-0.00,102679.90,35.78,-0.40,0.42,0.96
1258828,179.01,-0.22,-92.48,0.10,0.18,0.02,102680.03,35.78,-0.16,0.55,0.97
1269047,179.02,-0.23,-92.46,0.10,0.17,-0.01,102679.09,35.78,-0.31,0.58,0.86
1279050,179.02,-0.23,-92.46,0.11,0.17,-0.02,102679.67,35.78,-0.26,0.47,0.72
1289275,179.02,-0.23,-92.46,0.12,0.17,0.01,102677.78,35.78,-0.01,0.45,0.81
1299288,179.02,-0.22,-92.46,0.14,0.17,-0.02,102678.45,35.78,0.04,0.28,1.10
1309522,179.03,-0.21,-92.46,0.13,0.17,-0.02,102677.89,35.78,-0.31,0.37,1.35
1319529,179.03,-0.21,-92.45,0.12,0.15,0.02,102678.02,35.78,-0.45,0.62,1.56
1329688,179.04,-0.21,-92.45,0.11,0.15,0.01,102680.13,35.78,-0.05,0.52,1.05
1339700,179.04,-0.22,-92.45,0.11,0.18,0.01,102680.17,35.78,-0.13,0.49,0.84
1349855,179.04,-0.22,-92.45,0.10,0.17,0.03,102679.23,35.78,-0.22,0.41,0.83
1360149,179.04,-0.22,-92.45,0.11,0.18,0.01,102680.56,35.78,-0.28,0.47,0.79
1370302,179.04,-0.22,-92.45,0.10,0.18,0.01,102680.52,35.78,-0.29,0.60,0.78
1380311,179.04,-0.23,-92.44,0.09,0.17,0.02,102680.75,35.79,-0.41,0.55,0.78
1390463,179.04,-0.22,-92.43,0.13,0.18,0.02,102679.87,35.78,-0.20,0.42,1.09
1400713,179.04,-0.23,-92.42,0.10,0.17,0.01,102680.01,35.78,-0.27,0.55,1.12
1410956,179.04,-0.23,-92.43,0.11,0.16,-0.00,102679.59,35.78,-0.29,0.38,0.73
1421189,179.04,-0.22,-92.44,0.12,0.16,0.01,102679.28,35.78,-0.25,0.51,0.89
1431420,179.04,-0.22,-92.42,0.12,0.18,0.05,102679.56,35.78,-0.29,0.49,0.92
1441665,179.04,-0.22,-92.43,0.12,0.19,-0.01,102678.75,35.78,-0.37,0.53,1.00
1451901,179.03,-0.22,-92.44,0.11,0.18,-0.00,102678.15,35.78,-0.31,0.18,1.22
1463246,179.03,-0.22,-92.45,0.10,0.20,0.00,102677.66,35.78,0.02,0.39,1.10
1473396,179.03,-0.23,-92.45,0.08,0.17,0.00,102677.86,35.78,-0.39,0.51,1.16
1483621,179.03,-0.23,-92.48,0.10,0.18,0.01,102679.23,35.78,-0.04,0.49,0.86
1493865,179.03,-0.23,-92.47,0.11,0.17,0.01,102677.49,35.78,-0.24,0.57,0.95
1504103,179.03,-0.23,-92.46,0.12,0.19,0.03,102677.97,35.78,-0.36,0.58,0.85
1514339,179.02,-0.23,-92.45,0.11,0.18,-0.01,102677.56,35.78,-0.27,0.51,1.07
1524570,179.02,-0.23,-92.43,0.11,0.18,-0.00,102677.75,35.78,-0.44,0.45,0.92
1534812,179.02,-0.22,-92.45,0.12,0.18,-0.01,102678.95,35.79,-0.05,0.44,0.69
1545064,179.02,-0.22,-92.45,0.11,0.19,-0.02,102677.99,35.78,-0.28,0.60,0.76
1555301,179.03,-0.23,-92.45,0.09,0.16,-0.01,102678.09,35.78,-0.25,0.39,0.70
1566639,179.02,-0.23,-92.44,0.11,0.19,0.04,102678.69,35.79,-0.21,0.39,0.92
1576874,179.02,-0.22,-92.47,0.13,0.19,0.01,102678.10,35.79,-0.47,0.63,1.28
1587101,179.02,-0.22,-92.44,0.15,0.19,0.00,102677.66,35.79,-0.21,0.36,1.31
1597321,179.01,-0.21,-92.49,0.12,0.18,0.02,102679.88,35.79,-0.28,0.46,1.12
1607568,179.02,-0.22,-92.45,0.11,0.16,0.01,102678.75,35.79,-0.52,0.56,1.05
1617803,179.03,-0.22,-92.43,0.11,0.16,0.02,102679.69,35.79,-0.57,0.46,0.56
1628048,179.03,-0.23,-92.40,0.10,0.15,0.05,102680.01,35.79,-0.54,0.52,1.05
1638291,179.03,-0.23,-92.40,0.10,0.18,0.01,102679.62,35.79,-0.42,0.53,0.91
1648516,179.03,-0.23,-92.38,0.12,0.19,0.00,102679.05,35.79,-0.24,0.61,0.57
1658753,179.03,-0.24,-92.36,0.10,0.17,0.00,102679.14,35.79,-0.01,0.51,0.74
1670099,179.03,-0.24,-92.34,0.11,0.17,0.04,102678.67,35.79,-0.08,0.53,0.70
1680343,179.03,-0.23,-92.39,0.11,0.20,0.06,102678.10,35.79,-0.37,0.58,0.65
1690574,179.02,-0.23,-92.38,0.12,0.18,0.02,102679.45,35.79,-0.03,0.47,0.60
1700802,179.02,-0.24,-92.38,0.09,0.19,0.00,102680.20,35.79,-0.09,0.60,1.06
1711042,179.02,-0.24,-92.38,0.10,0.18,0.01,102680.26,35.79,-0.10,0.47,0.45
1721276,179.02,-0.24,-92.39,0.11,0.16,0.03,102679.26,35.79,-0.21,0.56,0.56
1731509,179.02,-0.24,-92.38,0.12,0.17,0.03,102679.31,35.79,-0.36,0.50,0.58
1741755,179.03,-0.23,-92.40,0.12,0.16,0.01,102679.08,35.79,-0.34,0.84,0.51
1751979,179.03,-0.22,-92.41,0.12,0.19,0.01,102679.19,35.80,-0.11,0.72,0.45
1762234,179.03,-0.22,-92.41,0.12,0.18,0.05,102678.97,35.79,-0.26,0.57,0.76
1773568,179.03,-0.22,-92.41,0.12,0.16,-0.01,102678.84,35.79,-0.36,0.51,0.70
1783801,179.03,-0.22,-92.42,0.11,0.19,-0.02,102679.23,35.79,-0.50,0.65,0.76
1794028,179.03,-0.22,-92.41,0.11,0.17,0.01,102679.53,35.79,-0.06,0.56,0.70
1804269,179.02,-0.22,-92.42,0.11,0.19,0.01,102679.25,35.79,-0.21,0.42,0.92
1814482,179.02,-0.21,-92.48,0.12,0.19,0.00,102678.52,35.79,-0.28,0.55,0.97
