@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
2914889,179.04,-0.20,-92.37,0.11,0.15,0.02,102678.16,35.84,-0.21,0.47,1.33
2925135,179.04,-0.21,-92.36,0.11,0.18,0.03,102676.72,35.84,-0.35,0.48,1.01
2935369,179.04,-0.21,-92.37,0.11,0.17,0.01,102677.72,35.84,-0.42,0.45,0.71
2945593,179.03,-0.21,-92.34,0.11,0.18,-0.00,102677.95,35.84,-0.12,0.40,1.04
2955830,179.03,-0.21,-92.35,0.10,0.18,0.02,102676.30,35.84,-0.18,0.39,0.79
2966049,179.02,-0.21,-92.35,0.12,0.19,0.03,102674.09,35.84,-0.39,0.51,0.75
2976288,179.02,-0.21,-92.36,0.11,0.17,0.02,102674.95,35.84,-0.43,0.49,0.93
2986536,179.03,-0.21,-92.39,0.12,0.17,0.01,102674.85,35.84,-0.44,0.61,0.69
2996776,179.03,-0.21,-92.39,0.10,0.17,0.02,102675.80,35.84,-0.48,0.47,1.00
3007018,179.03,-0.21,-92.39,0.12,0.17,-0.00,102676.00,35.84,-0.33,0.68,0.55
3018357,179.03,-0.21,-92.42,0.10,0.17,0.01,102676.13,35.84,-0.03,0.57,0.81
3028593,179.02,-0.21,-92.39,0.11,0.18,-0.00,102678.03,35.84,-0.44,0.58,1.26
3038843,179.02,-0.22,-92.36,0.11,0.19,0.04,102676.91,35.85,-0.24,0.62,1.27
3049062,179.01,-0.22,-92.37,0.11,0.20,0.00,102677.86,35.85,-0.21,0.55,0.96
3059302,179.01,-0.22,-92.41,0.11,0.19,0.00,102677.82,35.85,-0.28,0.38,1.01
3069529,179.01,-0.23,-92.37,0.10,0.18,-0.00,102678.55,35.85,-0.17,0.62,0.98
3079759,179.01,-0.23,-92.33,0.11,0.17,-0.04,102678.06,35.85,-0.35,0.44,1.17
3090001,179.01,-0.23,-92.34,0.13,0.18,0.03,102677.43,35.85,-0.30,0.44,0.90
3100222,179.01,-0.23,-92.33,0.13,0.19,0.03,102677.25,35.85,-0.30,0.48,0.84
3110465,179.01,-0.22,-92.34,0.13,0.18,0.02,102678.11,35.85,-0.14,0.60,0.72
3121803,179.01,-0.21,-92.36,0.13,0.18,0.02,102679.53,35.85,-0.14,0.43,0.65
3132042,179.01,-0.21,-92.36,0.12,0.18,-0.03,102679.82,35.85,-0.42,0.56,0.83
3142264,179.01,-0.21,-92.37,0.12,0.18,0.02,102678.98,35.85,-0.32,0.54,0.64
3152500,179.01,-0.21,-92.35,0.13,0.17,0.01,102677.36,35.85,-0.02,0.38,0.91
3167046,179.01,-0.21,-92.35,0.12,0.18,0.00,102678.73,35.85,-0.04,0.62,0.49
3177286,179.01,-0.21,-92.35,0.13,0.17,0.02,102677.16,35.85,-0.28,0.40,0.92
3187294,179.01,-0.19,-92.36,0.15,0.18,-0.00,102677.30,35.85,-0.17,0.47,0.97
3197534,179.01,-0.19,-92.38,0.12,0.17,-0.02,102677.13,35.85,-0.11,0.48,0.86
3207545,179.01,-0.19,-92.40,0.11,0.18,0.02,102678.00,35.85,-0.30,0.37,0.84
3217777,179.01,-0.19,-92.42,0.12,0.17,0.02,102677.67,35.85,-0.49,0.58,0.95
3228074,179.01,-0.19,-92.42,0.12,0.16,-0.01,102678.43,35.85,-0.18,0.51,1.17
3238302,179.02,-0.19,-92.42,0.13,0.17,-0.00,102677.47,35.85,-0.23,0.53,0.86
3248307,179.01,-0.19,-92.40,0.13,0.18,-0.02,102677.25,35.85,-0.24,0.38,1.34
3258527,179.02,-0.19,-92.39,0.12,0.17,0.01,102675.82,35.85,-0.40,0.51,1.36
3268532,179.02,-0.20,-92.37,0.11,0.16,0.04,102677.80,35.85,-0.35,0.61,0.70
3278714,179.02,-0.20,-92.35,0.12,0.18,-0.00,102678.76,35.85,-0.03,0.43,0.69
3288726,179.02,-0.20,-92.33,0.12,0.17,0.00,102676.99,35.86,-0.08,0.40,0.68
3298899,179.02,-0.20,-92.31,0.11,0.16,0.02,102675.88,35.86,-0.37,0.55,0.96
3308905,179.03,-0.20,-92.30,0.12,0.17,-0.00,102676.32,35.86,-0.43,0.58,0.82
3319081,179.03,-0.21,-92.30,0.11,0.17,-0.00,102677.95,35.86,-0.28,0.47,0.71
3330425,179.03,-0.20,-92.30,0.13,0.17,0.00,102677.61,35.86,-0.33,0.52,0.81
3340570,179.03,-0.19,-92.34,0.12,0.18,0.00,102676.33,35.86,-0.26,0.46,0.94
3350802,179.02,-0.19,-92.37,0.13,0.18,0.00,102675.93,35.86,-0.21,0.36,0.81
3361039,179.02,-0.19,-92.36,0.11,0.18,0.03,102676.08,35.86,-0.12,0.39,1.26
3371261,179.02,-0.19,-92.39,0.11,0.19,0.03,102674.45,35.86,-0.22,0.35,0.68
3381486,179.01,-0.20,-92.33,0.11,0.19,0.01,102674.52,35.87,-0.16,0.34,0.84
3391711,179.01,-0.20,-92.33,0.13,0.18,0.02,102674.37,35.86,-0.23,0.50,0.64
3401942,179.01,-0.20,-92.32,0.12,0.16,0.01,102674.94,35.87,-0.44,0.80,0.95
3412182,179.01,-0.20,-92.31,0.12,0.16,0.02,102674.85,35.87,-0.24,0.51,0.42
3422416,179.02,-0.20,-92.31,0.11,0.16,0.04,102674.28,35.87,-0.13,0.53,0.71
3433734,179.02,-0.21,-92.28,0.12,0.17,0.02,102674.88,35.87,-0.22,0.46,0.85
3443976,179.02,-0.21,-92.29,0.11,0.17,0.01,102675.06,35.86,-0.32,0.48,0.99
3454218,179.02,-0.21,-92.30,0.11,0.17,0.02,102674.46,35.86,-0.53,0.45,0.86
3464457,179.02,-0.21,-92.32,0.09,0.18,0.02,102676.02,35.87,-0.22,0.52,1.15
3474685,179.01,-0.22,-92.29,0.12,0.20,0.01,102678.48,35.87,-0.24,0.42,0.89
3484932,179.01,-0.21,-92.30,0.12,0.19,0.01,102677.52,35.87,-0.20,0.36,0.96
3495157,179.01,-0.22,-92.30,0.11,0.17,-0.00,102676.04,35.86,-0.35,0.46,0.90
3505396,179.01,-0.21,-92.33,0.12,0.18,0.00,102675.69,35.86,-0.38,0.44,1.04
3515628,179.01,-0.22,-92.31,0.11,0.16,0.02,102675.93,35.86,-0.47,0.44,1.22
3525855,179.02,-0.22,-92.30,0.12,0.16,0.01,102675.63,35.86,-0.13,0.48,0.56
3537196,179.01,-0.21,-92.32,0.12,0.19,-0.02,102673.83,35.86,-0.26,0.53,0.42
3547417,179.02,-0.21,-92.32,0.11,0.17,0.01,102674.55,35.87,0.07,0.54,0.63
3557654,179.02,-0.21,-92.31,0.12,0.16,-0.02,102675.83,35.87,-0.26,0.54,0.91
3567886,179.03,-0.21,-92.32,0.11,0.16,0.03,102676.06,35.87,-0.29,0.34,1.08
3578130,179.03,-0.21,-92.37,0.10,0.17,0.01,102675.71,35.87,-0.29,0.46,1.11
3588358,179.02,-0.21,-92.38,0.10,0.18,0.02,102674.93,35.87,-0.25,0.60,0.85
3598584,179.02,-0.21,-92.39,0.12,0.18,0.00,102675.38,35.87,-0.44,0.63,0.87
3608828,179.02,-0.21,-92.42,0.11,0.18,0.01,102675.71,35.87,-0.48,0.59,0.88
3619053,179.02,-0.22,-92.40,0.11,0.17,0.05,102674.94,35.87,-0.33,0.47,0.68
3629305,179.02,-0.21,-92.42,0.11,0.18,0.02,102674.35,35.87,-0.26,0.52,0.49
3640640,179.02,-0.21,-92.43,0.11,0.17,0.01,102673.92,35.87,-0.40,0.53,0.80
3650877,179.02,-0.21,-92.47,0.12,0.17,-0.01,102674.09,35.87,0.04,0.38,0.90
3661104,179.03,-0.20,-92.47,0.13,0.15,-0.01,102673.73,35.87,-0.11,0.31,1.04
3671347,179.03,-0.20,-92.49,0.12,0.16,0.02,102673.70,35.87,0.02,0.41,0.60
3681577,179.03,-0.20,-92.50,0.09,0.18,-0.03,102673.42,35.87,-0.43,0.59,0.86
3691828,179.02,-0.20,-92.53,0.12,0.21,-0.00,102672.45,35.87,-0.32,0.55,0.64
3702046,179.01,-0.20,-92.52,0.12,0.18,0.03,102673.52,35.87,-0.14,0.38,0.91
3712280,179.01,-0.20,-92.56,0.11,0.18,-0.03,102674.31,35.87,-0.34,0.58,0.96
3722509,179.01,-0.20,-92.57,0.12,0.17,0.04,102672.35,35.87,-0.38,0.55,0.86
3732748,179.02,-0.20,-92.58,0.12,0.17,0.03,102673.45,35.88,-0.35,0.54,1.30
3744071,179.02,-0.20,-92.59,0.12,0.16,0.03,102671.75,35.88,-0.23,0.62,1.04
3754298,179.03,-0.19,-92.63,0.11,0.15,0.02,102674.04,35.88,-0.32,0.63,0.99
3764529,179.03,-0.19,-92.63,0.11,0.16,0.03,102675.48,35.88,-0.34,0.56,1.14
3774779,179.03,-0.19,-92.65,0.11,0.18,0.01,102675.78,35.88,-0.22,0.46,1.05
3785019,179.03,-0.19,-92.65,0.11,0.16,-0.01,102676.78,35.88,-0.55,0.56,0.52
3795237,179.02,-0.20,-92.62,0.11,0.20,0.02,102676.50,35.88,-0.27,0.66,0.61
3805475,179.01,-0.20,-92.65,0.10,0.21,0.02,102676.05,35.88,-0.25,0.60,0.51
3815707,179.01,-0.20,-92.68,0.11,0.18,0.01,102675.72,35.88,-0.25,0.51,0.45
3825933,179.01,-0.20,-92.64,0.13,0.16,0.04,102674.95,35.88,-0.17,0.45,0.72
3836160,179.02,-0.20,-92.65,0.11,0.14,-0.02,102672.59,35.88,-0.11,0.56,0.96
3847483,179.02,-0.20,-92.65,0.12,0.18,0.01,102673.37,35.88,0.02,0.39,0.82
3857728,179.02,-0.20,-92.64,0.13,0.18,-0.00,102672.92,35.88,-0.35,0.51,0.87
3867956,179.01,-0.20,-92.65,0.10,0.19,0.02,102671.30,35.88,-0.23,0.45,0.92
3878182,179.01,-0.20,-92.65,0.12,0.18,0.04,102673.20,35.88,-0.36,0.44,0.73
3888414,179.00,-0.20,-92.68,0.12,0.21,0.01,102673.55,35.88,-0.31,0.40,0.69
3898637,179.00,-0.20,-92.68,0.13,0.18,0.01,102673.84,35.88,-0.30,0.43,0.80
3908873,179.01,-0.19,-92.68,0.13,0.16,-0.01,102673.05,35.88,-0.14,0.44,1.02
3919102,179.00,-0.19,-92.68,0.13,0.19,0.01,102674.48,35.88,-0.11,0.52,0.48
3929339,179.01,-0.21,-92.62,0.12,0.16,-0.01,102675.57,35.88,-0.14,0.46,0.84
3939562,179.01,-0.21,-92.62,0.10,0.16,0.02,102675.57,35.88,-0.42,0.44,0.99
3950898,179.02,-0.21,-92.60,0.12,0.17,0.01,102676.39,35.88,-0.36,0.52,0.47
3961138,179.01,-0.21,-92.62,0.12,0.20,-0.01,102677.26,35.88,-0.03,0.53,0.99
3971365,179.01,-0.21,-92.56,0.13,0.18,0.03,102676.35,35.88,-0.24,0.38,0.75
3981584,179.00,-0.21,-92.58,0.11,0.19,0.03,102675.44,35.88,-0.20,0.47,0.38
3991820,179.00,-0.22,-92.57,0.11,0.19,-0.01,102674.26,35.88,-0.43,0.52,0.90
4002039,179.00,-0.23,-92.51,0.11,0.19,0.05,102673.84,35.88,-0.16,0.53,0.65
4012267,179.00,-0.22,-92.54,0.12,0.16,0.00,102675.34,35.88,-0.31,0.42,0.79
4022498,179.00,-0.22,-92.56,0.12,0.18,0.02,102674.15,35.88,-0.30,0.47,0.63
4032730,179.01,-0.21,-92.58,0.12,0.17,0.03,102674.79,35.88,-0.25,0.41,0.67
4042976,179.01,-0.22,-92.56,0.10,0.17,0.02,102674.26,35.88,-0.40,0.43,0.96
4054316,179.01,-0.23,-92.53,0.11,0.18,-0.02,102674.91,35.88,-0.20,0.56,0.50
4064556,179.01,-0.24,-92.51,0.12,0.18,0.03,102675.35,35.89,-0.16,0.50,0.77
4074562,179.01,-0.24,-92.48,0.12,0.20,0.02,102674.43,35.89,0.01,0.45,0.97
4084716,179.01,-0.24,-92.46,0.12,0.18,-0.02,102673.98,35.89,-0.47,0.56,0.82
4094721,179.01,-0.24,-92.43,0.12,0.18,0.00,102672.89,35.89,-0.48,0.54,0.79
4104881,179.01,-0.24,-92.41,0.11,0.19,0.02,102672.31,35.89,-0.21,0.58,0.86
4114887,179.01,-0.25,-92.38,0.11,0.18,-0.01,102672.41,35.89,-0.24,0.39,0.80
4125062,179.01,-0.24,-92.43,0.11,0.17,0.02,102672.73,35.89,-0.28,0.43,0.78
4135287,179.01,-0.24,-92.44,0.11,0.18,0.02,102670.66,35.89,-0.13,0.59,0.78
4145526,179.01,-0.24,-92.46,0.10,0.18,0.04,102673.22,35.89,-0.42,0.39,1.09
4156855,179.02,-0.23,-92.47,0.13,0.17,0.01,102672.87,35.89,-0.24,0.59,0.69
4171316,179.02,-0.23,-92.51,0.10,0.17,0.01,102673.34,35.89,-0.36,0.43,0.84
4181559,179.01,-0.23,-92.50,0.14,0.19,-0.02,102675.41,35.89,-0.35,0.52,0.95
4191796,179.01,-0.23,-92.52,0.11,0.18,-0.00,102676.02,35.89,-0.46,0.49,0.82
4202028,179.01,-0.23,-92.54,0.10,0.19,0.03,102673.66,35.89,-0.21,0.57,0.98
4212263,179.01,-0.24,-92.52,0.10,0.19,-0.01,102673.17,35.89,-0.24,0.50,0.55
4222480,179.02,-0.22,-92.55,0.13,0.14,0.00,102673.07,35.89,-0.44,0.41,0.93
4232715,179.02,-0.23,-92.54,0.11,0.16,0.03,102674.48,35.90,-0.20,0.47,1.05
4242943,179.03,-0.23,-92.51,0.11,0.17,0.02,102675.84,35.90,-0.31,0.45,0.83
4253169,179.03,-0.22,-92.54,0.12,0.16,0.03,102675.34,35.90,-0.22,0.40,0.71
4264511,179.03,-0.22,-92.54,0.12,0.18,0.01,102674.66,35.90,-0.12,0.47,1.12
4274743,179.03,-0.21,-92.60,0.12,0.16,0.02,102674.44,35.90,-0.34,0.41,0.85
4284970,179.04,-0.21,-92.60,0.12,0.17,0.02,102674.00,35.90,-0.50,0.28,1.07
4295205,179.04,-0.22,-92.61,0.10,0.18,-0.00,102673.92,35.90,0.02,0.29,1.00
4305444,179.04,-0.22,-92.61,0.11,0.17,0.01,102675.20,35.90,-0.07,0.57,0.63
4315683,179.04,-0.21,-92.62,0.11,0.16,0.01,102674.82,35.90,0.02,0.54,0.79
4325929,179.05,-0.22,-92.58,0.11,0.16,0.01,102675.83,35.90,0.04,0.46,1.33
4336160,179.05,-0.22,-92.57,0.12,0.17,-0.02,102676.60,35.90,-0.23,0.44,1.36
4346405,179.04,-0.22,-92.57,0.11,0.18,0.02,102676.89,35.90,-0.01,0.67,0.62
4356637,179.04,-0.21,-92.58,0.13,0.18,0.01,102676.10,35.90,-0.04,0.56,0.83
4367975,179.04,-0.22,-92.58,0.10,0.18,-0.03,102675.00,35.90,-0.28,0.46,0.87
4378199,179.03,-0.22,-92.58,0.11,0.20,0.02,102673.42,35.90,-0.37,0.41,0.96
4388387,179.03,-0.22,-92.62,0.11,0.17,0.02,102674.76,35.90,-0.27,0.35,1.05
4398616,179.03,-0.22,-92.60,0.10,0.19,-0.02,102675.80,35.90,-0.37,0.34,1.15
4408840,179.03,-0.21,-92.64,0.13,0.17,0.01,102675.02,35.90,0.04,0.54,1.05
4419071,179.02,-0.22,-92.60,0.12,0.18,-0.02,102676.58,35.90,-0.19,0.54,1.07
4429295,179.03,-0.22,-92.62,0.11,0.18,-0.01,102674.85,35.90,-0.43,0.62,0.64
4439533,179.03,-0.22,-92.60,0.11,0.17,0.01,102674.83,35.90,-0.05,0.44,1.03
4449772,179.03,-0.21,-92.63,0.13,0.16,0.02,102673.05,35.90,-0.13,0.56,0.99
4460004,179.03,-0.21,-92.62,0.13,0.17,-0.03,102674.77,35.91,-0.30,0.62,0.82
4471335,179.03,-0.21,-92.64,0.11,0.18,0.01,102675.27,35.90,-0.33,0.51,1.10
4481555,179.02,-0.22,-92.60,0.10,0.19,-0.01,102675.16,35.91,-0.03,0.49,1.00
4491795,179.02,-0.22,-92.61,0.10,0.18,0.02,102674.79,35.90,-0.28,0.41,1.02
4502023,179.03,-0.22,-92.60,0.10,0.17,0.03,102673.78,35.91,-0.37,0.51,0.71
4512263,179.03,-0.23,-92.57,0.11,0.18,0.03,102674.57,35.91,-0.39,0.45,0.69
4522492,179.03,-0.23,-92.54,0.12,0.18,0.02,102674.88,35.91,-0.19,0.56,0.80
4532731,179.03,-0.22,-92.57,0.13,0.16,-0.02,102675.38,35.91,-0.31,0.50,0.75
4542958,179.03,-0.22,-92.56,0.11,0.16,0.01,102673.67,35.91,-0.18,0.53,0.50
4553189,179.03,-0.22,-92.58,0.10,0.17,0.03,102676.02,35.91,-0.35,0.46,0.84
4563429,179.03,-0.22,-92.59,0.13,0.19,0.01,102677.00,35.91,-0.19,0.37,0.79
4574781,179.03,-0.22,-92.58,0.12,0.18,0.01,102675.94,35.91,0.00,0.46,0.86
4585013,179.03,-0.21,-92.58,0.12,0.17,-0.01,102674.88,35.91,-0.20,0.52,0.21
4595024,179.03,-0.21,-92.62,0.12,0.15,-0.01,102675.16,35.91,-0.23,0.50,0.78
4605246,179.03,-0.20,-92.65,0.10,0.17,-0.01,102675.57,35.91,0.42,0.53,0.94
4615250,179.03,-0.19,-92.68,0.13,0.17,0.03,102675.41,35.91,-0.27,0.42,0.62
4625409,179.03,-0.19,-92.71,0.10,0.16,0.02,102676.80,35.91,-0.37,0.55,0.63
4635418,179.03,-0.18,-92.75,0.13,0.18,0.04,102676.80,35.91,-0.23,0.50,1.03
4645571,179.03,-0.18,-92.77,0.10,0.17,0.05,102676.30,35.91,-0.36,0.45,0.95
4655574,179.03,-0.18,-92.80,0.09,0.16,0.02,102676.97,35.91,-0.31,0.40,0.97
4665732,179.04,-0.19,-92.77,0.09,0.17,0.04,102676.44,35.91,-0.33,0.47,0.94
4677058,179.04,-0.20,-92.73,0.10,0.17,-0.00,102677.32,35.91,-0.26,0.37,1.09
4687298,179.04,-0.21,-92.70,0.10,0.17,0.01,102677.72,35.92,-0.64,0.50,1.12
4697296,179.04,-0.20,-92.72,0.13,0.16,-0.00,102677.76,35.92,-0.36,0.57,0.61
4707539,179.04,-0.21,-92.73,0.11,0.16,0.03,102676.80,35.92,-0.23,0.43,1.02
4717557,179.04,-0.20,-92.74,0.12,0.17,-0.02,102676.04,35.92,-0.44,0.63,0.95
4727777,179.04,-0.21,-92.75,0.10,0.17,-0.01,102676.99,35.91,-0.32,0.52,1.21
4737790,179.04,-0.21,-92.76,0.10,0.17,0.02,102675.71,35.91,-0.10,0.57,1.02
4747951,179.05,-0.21,-92.76,0.10,0.16,0.02,102676.27,35.92,-0.26,0.54,0.99
4757960,179.05,-0.21,-92.77,0.10,0.18,-0.01,102673.34,35.91,-0.32,0.62,0.31
4768130,179.05,-0.21,-92.78,0.13,0.16,0.01,102674.23,35.92,-0.30,0.48,0.77
4778418,179.05,-0.20,-92.79,0.12,0.17,-0.02,102675.95,35.92,-0.02,0.13,0.62
4788576,179.04,-0.20,-92.80,0.11,0.19,-0.01,102677.20,35.92,-0.43,0.42,0.98
4798584,179.04,-0.21,-92.81,0.10,0.18,-0.01,102676.13,35.92,-0.28,0.51,0.98
4808755,179.04,-0.21,-92.81,0.12,0.17,0.02,102674.77,35.92,-0.29,0.53,0.82
4818987,179.04,-0.20,-92.80,0.13,0.16,0.03,102676.33,35.92,-0.29,0.61,0.71
4829220,179.03,-0.21,-92.81,0.09,0.19,0.02,102675.46,35.92,-0.29,0.63,0.73
4839444,179.02,-0.21,-92.79,0.11,0.21,0.04,102677.36,35.92,-0.33,0.44,0.81
4849676,179.02,-0.22,-92.78,0.10,0.19,0.01,102677.00,35.92,-0.14,0.40,0.79
4859687,179.02,-0.22,-92.76,0.11,0.17,0.02,102677.99,35.92,-0.42,0.67,0.70
4869866,179.02,-0.22,-92.76,0.11,0.18,-0.03,102677.99,35.93,-0.01,0.68,0.92
4881189,179.02,-0.22,-92.78,0.11,0.17,0.04,102676.19,35.93,-0.12,0.49,1.16
4891422,179.02,-0.21,-92.81,0.13,0.18,-0.01,102677.91,35.93,0.02,0.37,0.78
4901653,179.02,-0.21,-92.80,0.12,0.17,0.01,102678.17,35.93,-0.39,0.54,0.82
4911903,179.02,-0.21,-92.79,0.12,0.18,0.01,102678.37,35.93,-0.35,0.54,0.63
4922132,179.02,-0.21,-92.74,0.14,0.18,0.01,102679.04,35.93,-0.27,0.58,0.67
4932376,179.02,-0.21,-92.72,0.12,0.18,0.01,102680.06,35.93,-0.52,0.39,1.03
4942609,179.02,-0.22,-92.69,0.12,0.18,-0.00,102679.81,35.93,-0.07,0.43,0.68
4952847,179.02,-0.21,-92.73,0.12,0.18,0.03,102679.00,35.93,-0.25,0.44,0.80
4963092,179.02,-0.22,-92.73,0.09,0.16,0.00,102677.49,35.93,-0.24,0.48,0.86
4973326,179.03,-0.22,-92.72,0.10,0.17,0.02,102677.83,35.93,-0.24,0.49,0.80

4984670,179.03,-0.23,-92.69,0.11,0.17,0.00,102678.63,35.93,-0.13,0.37,0.51
4994908,179.03,-0.23,-92.67,0.11,0.17,0.02,102678.21,35.93,-0.42,0.50,0.88
5005149,179.03,-0.24,-92.64,0.11,0.18,-0.00,102678.67,35.93,-0.47,0.57,1.08
5015380,179.03,-0.24,-92.64,0.09,0.19,-0.00,102678.23,35.93,-0.33,0.54,0.72
5025614,179.02,-0.24,-92.68,0.10,0.18,-0.01,102677.91,35.93,-0.18,0.46,0.85
5035857,179.02,-0.24,-92.65,0.11,0.18,-0.01,102678.43,35.93,-0.23,0.33,0.87
5046094,179.02,-0.24,-92.67,0.12,0.19,-0.03,102677.80,35.93,-0.44,0.50,0.80
5056340,179.02,-0.24,-92.65,0.11,0.19,0.03,102677.61,35.93,-0.20,0.41,0.71
5066580,179.02,-0.24,-92.69,0.11,0.19,-0.01,102678.48,35.93,-0.43,0.51,0.81
5076824,179.01,-0.24,-92.67,0.12,0.19,0.05,102678.11,35.93,-0.48,0.53,1.02
5088154,179.02,-0.23,-92.70,0.11,0.16,0.04,102677.56,35.93,-0.29,0.42,0.83
5098383,179.02,-0.24,-92.70,0.09,0.18,0.00,102677.66,35.93,-0.18,0.40,0.63
5108607,179.02,-0.24,-92.70,0.12,0.18,-0.02,102677.50,35.93,-0.27,0.59,0.87
5118849,179.01,-0.24,-92.68,0.12,0.20,-0.01,102678.39,35.94,0.02,0.51,0.53
5129080,179.01,-0.24,-92.66,0.12,0.20,0.03,102677.28,35.94,-0.35,0.34,0.93
5139327,179.01,-0.24,-92.68,0.11,0.17,-0.02,102676.19,35.94,-0.03,0.50,0.73
5149548,179.01,-0.24,-92.66,0.10,0.19,0.02,102677.66,35.94,-0.36,0.61,0.77
5159777,179.01,-0.25,-92.64,0.11,0.18,0.01,102678.52,35.94,-0.54,0.59,0.86
5174317,179.01,-0.25,-92.65,0.11,0.19,0.02,102677.61,35.94,-0.46,0.67,0.72
5184553,179.01,-0.25,-92.64,0.10,0.16,0.02,102676.83,35.94,-0.05,0.68,0.77
5195893,179.02,-0.24,-92.66,0.12,0.17,0.01,102677.38,35.94,-0.28,0.49,0.94
5206131,179.02,-0.24,-92.67,0.11,0.17,0.02,102677.80,35.94,-0.02,0.57,0.54
5216369,179.02,-0.23,-92.68,0.13,0.18,0.00,102678.60,35.94,0.04,0.39,0.85
5226587,179.02,-0.24,-92.64,0.11,0.17,0.01,102679.71,35.94,-0.34,0.43,1.34
5236829,179.03,-0.24,-92.63,0.12,0.17,0.02,102678.78,35.94,-0.50,0.40,1.05
5247066,179.03,-0.23,-92.63,0.12,0.17,0.03,102678.60,35.94,-0.22,0.35,0.99
5257305,179.03,-0.24,-92.60,0.12,0.18,-0.03,102678.17,35.94,-0.16,0.46,0.94
5267546,179.03,-0.24,-92.60,0.11,0.19,0.00,102677.38,35.94,-0.15,0.37,1.32
5277787,179.03,-0.24,-92.61,0.09,0.17,0.02,102676.52,35.94,-0.15,0.58,1.09
5288029,179.04,-0.24,-92.61,0.11,0.16,-0.01,102678.17,35.94,-0.15,0.62,0.88
5299370,179.04,-0.24,-92.61,0.11,0.17,-0.02,102678.39,35.94,-0.22,0.67,0.76
5309614,179.04,-0.24,-92.60,0.10,0.18,0.03,102677.54,35.94,-0.16,0.49,0.74
5319620,179.04,-0.25,-92.55,0.12,0.18,-0.00,102678.42,35.94,-0.15,0.49,0.66
5329855,179.03,-0.26,-92.51,0.10,0.19,0.04,102678.59,35.94,-0.15,0.41,1.11
5339864,179.04,-0.26,-92.50,0.10,0.17,0.00,102677.41,35.94,-0.22,0.47,0.93
5350110,179.03,-0.26,-92.50,0.09,0.21,0.04,102676.80,35.94,-0.36,0.41,1.01
5360116,179.03,-0.26,-92.50,0.10,0.18,0.03,102676.60,35.94,-0.58,0.63,0.98
5370285,179.03,-0.26,-92.50,0.12,0.18,-0.03,102676.71,35.94,0.00,0.63,1.02
5380286,179.03,-0.26,-92.50,0.10,0.18,0.04,102677.56,35.95,-0.04,0.63,0.75
5390428,179.03,-0.26,-92.50,0.11,0.17,0.00,102678.97,35.95,-0.01,0.56,0.42
5400716,179.04,-0.26,-92.50,0.11,0.16,0.03,102678.48,35.95,-0.39,0.62,0.24
5410871,179.03,-0.26,-92.50,0.12,0.20,0.04,102679.39,35.95,-0.27,0.51,0.87
5420875,179.03,-0.26,-92.50,0.10,0.18,-0.01,102679.82,35.95,-0.29,0.45,0.72
5431030,179.03,-0.25,-92.50,0.11,0.19,0.01,102678.36,35.95,-0.14,0.56,0.61
5441270,179.03,-0.26,-92.49,0.10,0.19,-0.01,102678.27,35.95,-0.11,0.50,0.87
5451495,179.03,-0.26,-92.48,0.09,0.16,-0.01,102678.71,35.95,-0.37,0.45,1.03
5461745,179.03,-0.26,-92.50,0.11,0.18,-0.02,102678.30,35.95,-0.31,0.40,0.91
5471970,179.03,-0.26,-92.51,0.11,0.18,0.01,102678.50,35.95,-0.30,0.47,0.92
5481982,179.04,-0.26,-92.52,0.10,0.16,0.02,102677.86,35.95,-0.33,0.52,0.97
5492139,179.04,-0.25,-92.53,0.13,0.18,0.01,102676.37,35.95,-0.34,0.61,1.05
5503477,179.04,-0.24,-92.56,0.11,0.19,0.02,102677.08,35.95,-0.15,0.44,1.03
5513726,179.04,-0.24,-92.55,0.13,0.18,0.04,102675.52,35.95,-0.26,0.63,0.91
5523938,179.04,-0.24,-92.57,0.11,0.18,-0.00,102677.44,35.95,-0.17,0.48,0.49
5534159,179.04,-0.24,-92.56,0.11,0.18,0.02,102677.86,35.95,-0.50,0.45,0.96
5544403,179.03,-0.25,-92.51,0.11,0.19,0.01,102678.42,35.95,-0.49,0.48,0.82
5554629,179.03,-0.25,-92.50,0.11,0.19,0.01,102677.55,35.95,-0.45,0.49,1.34
5564855,179.03,-0.24,-92.52,0.12,0.18,-0.03,102676.91,35.95,-0.44,0.49,1.09
5575091,179.03,-0.24,-92.49,0.12,0.17,0.02,102676.16,35.95,-0.40,0.53,1.16
5585348,179.04,-0.24,-92.50,0.11,0.18,0.01,102675.87,35.95,-0.16,0.42,0.74
5595588,179.04,-0.23,-92.52,0.13,0.17,0.04,102674.63,35.95,0.01,0.44,0.66
5606931,179.04,-0.23,-92.53,0.12,0.17,0.03,102675.74,35.95,-0.27,0.60,0.60
5617154,179.03,-0.23,-92.57,0.10,0.18,-0.01,102678.16,35.96,-0.21,0.55,0.63
5627390,179.03,-0.23,-92.54,0.12,0.18,0.01,102678.37,35.96,-0.35,0.54,1.38
5637631,179.03,-0.23,-92.51,0.12,0.19,0.00,102678.06,35.96,-0.50,0.73,0.94
5647858,179.03,-0.22,-92.54,0.12,0.18,0.03,102678.67,35.96,-0.49,0.62,1.32
5658091,179.02,-0.22,-92.54,0.11,0.19,0.01,102678.25,35.96,-0.14,0.40,1.51
